pathway_id	pathway_name	genes
512988	Interleukin-3, Interleukin-5 and GM-CSF signaling	BLNK,CBL,CRK,CRKL,CSF2 gene,CSF2RA,CSF2RB,FYN,GAB2,GRB2,HCK,IL2,IL2RA,IL2RB,IL2RG,IL3,IL3RA,IL5,IL5RA,INPP5D,INPPL1,JAK1,JAK2,JAK3,LYN,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R2,PIK3R3,PRKACA,PTPN11,PTPN6,RAPGEF1,SHC1,SOS1,STAT5A,STAT5B,SYK,TEC,VAV1,YES1,YWHAZ
376176	Signaling by ROBO receptors	ABL1,ABL2,ADRM1,AKAP5,ARHGAP39,CAP1,CAP2,CASC3,CDC42,CLASP1,CLASP2,COL4A5,CUL2,CXCL12,CXCR4,DAG1,DCC,EIF4A3,EIF4G1,ELOB,ELOC,ENAH,ETF1,EVL,FAU,FLRT3,GPC1,GSPT1,GSPT2,HOXA2,ISL1,LDB1,LHX2,LHX3,LHX4,LHX9,MAGOH,MAGOHB,MSI1,MYO9B,NCBP1,NCBP2,NCK1,NCK2,NELL2,NRP1,NTN1,PABPC1,PAK1,PAK2,PAK3,PAK4,PAK5,PAK6,PFN1,PFN2,PPP3CB,PRKACA,PRKACB,PRKACG,PRKAR2A,PRKCA,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,RAC1,RBM8A,RBX1,RHOA,RNPS1,ROBO1,ROBO2,ROBO3,RPL10,RPL10A,RPL10L,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL22L1,RPL23,RPL23A,RPL24,RPL26,RPL26L1,RPL27,RPL27A,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL39L,RPL3L,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS4Y1,RPS4Y2,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,SEM1,SLIT1,SLIT2,SLIT3,SOS1,SOS2,SRC,SRGAP1,SRGAP2,SRGAP3,UBA52,UBB,UBC,UPF2,UPF3A,UPF3B,USP33,VASP,ZSWIM8
381753	Olfactory Signaling Pathway	ADCY3,ANO2,CNGA2,CNGA4,CNGB1,EBF1,GNAL,GNB1,GNG13,LDB1,LHX2,OR10A2,OR10A3,OR10A4,OR10A5,OR10A6,OR10A7,OR10AC1,OR10AD1,OR10AG1,OR10C1,OR10D3,OR10G2,OR10G3,OR10G4,OR10G6,OR10G7,OR10G8,OR10G9,OR10H1,OR10H2,OR10H3,OR10H4,OR10H5,OR10J1,OR10J3,OR10J4,OR10J5,OR10K1,OR10K2,OR10P1,OR10Q1,OR10R2,OR10S1,OR10T2,OR10V1,OR10W1,OR10X1,OR10Z1,OR11A1,OR11G2,OR11H1,OR11H2,OR11H4,OR11H6,OR11H7,OR11L1,OR12D2,OR12D3,OR13A1,OR13C2,OR13C3,OR13C4,OR13C5,OR13C8,OR13C9,OR13D1,OR13F1,OR13G1,OR13H1,OR13J1,OR14A16,OR14A2,OR14C36,OR14I1,OR14J1,OR14K1,OR1A1,OR1A2,OR1B1,OR1C1,OR1D2,OR1D4,OR1D5,OR1E1,OR1E2,OR1E3,OR1F1,OR1F12,OR1G1,OR1I1,OR1J1,OR1J2,OR1J4,OR1K1,OR1L1,OR1L3,OR1L4,OR1L6,OR1L8,OR1M1,OR1N1,OR1N2,OR1P1,OR1Q1,OR1S1,OR1S2,OR2A1,OR2A12,OR2A14,OR2A2,OR2A25,OR2A4,OR2A5,OR2A7,OR2AE1,OR2AG1,OR2AG2,OR2AJ1,OR2AK2,OR2AP1,OR2AT4,OR2B11,OR2B2,OR2B3,OR2B6,OR2C1,OR2C3,OR2D2,OR2D3,OR2F1,OR2F2,OR2G2,OR2G3,OR2G6,OR2H1,OR2H2,OR2I1P,OR2J1,OR2J2,OR2J3,OR2K2,OR2L13,OR2L2,OR2L3,OR2L5,OR2L8,OR2M2,OR2M3,OR2M4,OR2M5,OR2M7,OR2S2,OR2T1,OR2T10,OR2T11,OR2T12,OR2T2,OR2T27,OR2T29,OR2T3,OR2T33,OR2T34,OR2T35,OR2T4,OR2T5,OR2T6,OR2T7,OR2T8,OR2V1,OR2V2,OR2W1,OR2W3,OR2W5,OR2Y1,OR2Z1,OR3A1,OR3A2,OR3A3,OR4A15,OR4A16,OR4A47,OR4A4P,OR4A5,OR4A8,OR4B1,OR4C11,OR4C12,OR4C13,OR4C15,OR4C16,OR4C3,OR4C45,OR4C46,OR4C5,OR4C6,OR4D1,OR4D10,OR4D11,OR4D2,OR4D5,OR4D6,OR4D9,OR4E1,OR4E2,OR4F15,OR4F17,OR4F21,OR4F3,OR4F4,OR4F5,OR4F6,OR4K1,OR4K13,OR4K14,OR4K15,OR4K17,OR4K2,OR4K3,OR4K5,OR4L1,OR4M1,OR4M2,OR4N2,OR4N4,OR4N5,OR4P4,OR4Q2,OR4Q3,OR4S1,OR4S2,OR4X1,OR4X2,OR51A2,OR51A4,OR51A7,OR51B2,OR51B4,OR51B5,OR51B6,OR51D1,OR51E1,OR51E2,OR51F1,OR51F2,OR51G1,OR51G2,OR51H1,OR51I1,OR51I2,OR51J1,OR51L1,OR51M1,OR51Q1,OR51S1,OR51T1,OR51V1,OR52A1,OR52A4P,OR52A5,OR52B2,OR52B6,OR52D1,OR52E1,OR52E2,OR52E4,OR52E5,OR52E6,OR52E8,OR52H1,OR52I1,OR52I2,OR52J3,OR52K1,OR52K2,OR52L1,OR52L2P,OR52M1,OR52N1,OR52N2,OR52N4,OR52N5,OR52R1,OR52W1,OR52Z1,OR56A1,OR56A3,OR56A4,OR56A5,OR56B1,OR56B4,OR5A1,OR5A2,OR5AC1,OR5AC2,OR5AK2,OR5AL1,OR5AN1,OR5AP2,OR5AR1,OR5AS1,OR5AU1,OR5B12,OR5B17,OR5B2,OR5B21,OR5B3,OR5C1,OR5D13,OR5D14,OR5D16,OR5D18,OR5F1,OR5G3,OR5H1,OR5H14,OR5H15,OR5H2,OR5H6,OR5I1,OR5J2,OR5K1,OR5K2,OR5K3,OR5K4,OR5L1,OR5L2,OR5M1,OR5M10,OR5M11,OR5M3,OR5M8,OR5M9,OR5P2,OR5P3,OR5R1,OR5T1,OR5T2,OR5T3,OR5V1,OR5W2,OR6A2,OR6B1,OR6B2,OR6B3,OR6C1,OR6C2,OR6C3,OR6C4,OR6C6,OR6C65,OR6C68,OR6C70,OR6C74,OR6C75,OR6C76,OR6F1,OR6J1,OR6K2,OR6K3,OR6K6,OR6M1,OR6N1,OR6N2,OR6P1,OR6Q1,OR6S1,OR6T1,OR6V1,OR6X1,OR6Y1,OR7A10,OR7A17,OR7A2P,OR7A5,OR7C1,OR7C2,OR7D2,OR7D4,OR7E24,OR7G1,OR7G2,OR7G3,OR8A1,OR8B12,OR8B2,OR8B3,OR8B4,OR8B8,OR8D1,OR8D2,OR8D4,OR8G1,OR8G2,OR8G5,OR8H1,OR8H2,OR8H3,OR8I2,OR8J1,OR8J2,OR8J3,OR8K1,OR8K3,OR8K5,OR8S1,OR8U1,OR8U3,OR8U8,OR8U9,OR9A2,OR9A4,OR9G1,OR9G4,OR9G9,OR9I1,OR9K2,OR9Q1,OR9Q2,REEP1,RTP1,RTP2
140877	Formation of Fibrin Clot (Clotting Cascade)	A2M,C1QBP,CD177,F10,F11,F12,F13A1,F13B,F2,F2R,F5,F7,F8,F9,FGA,FGB,FGG,GP1BA,GP1BB,GP5,GP9,KLKB1,KNG1,PF4,PF4V1,PRCP,PROC,PROCR,PROS1,PRTN3,SERPINA5,SERPINC1,SERPIND1,SERPINE2,SERPING1,TF,TFPI,THBD,VWF
5627117	RHO GTPases Activate ROCKs	CFL1,LIMK1,LIMK2,MYH10,MYH11,MYH14,MYH9,MYL12B,MYL6,MYL9,PAK1,PPP1CB,PPP1R12A,PPP1R12B,RHOA,RHOB,RHOC,ROCK1,ROCK2
196791	Vitamin D (calciferol) metabolism	CUBN,CYP24A1,CYP27B1,CYP2R1,GC,LDLRAP1,LGMN,LRP2,PIAS4,SUMO2,UBE2I,VDR
9827857	Specification of primordial germ cells	BMP4,CBFA2T2,CXCR4,EOMES,NANOG,NANOS3,PDPN,POU5F1 (OCT4),PRDM1,SOX17,TET2,TFAP2C
8963693	Aspartate and asparagine metabolism	ASNS,ASPA,ASPG,FOLH1,FOLH1B,GADL1,GOT1,GOT2,NAALAD2,NAT8L,SLC25A12,SLC25A13
8964540	Alanine metabolism	GPT,GPT2
5358346	Hedgehog ligand biogenesis	ADAM17,ADRM1,DERL2,DHH,DISP2,ERLEC1,GPC5,HHAT,IHH,NOTUM,OS9,P4HB,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,RPS27A,SCUBE2,SEL1L,SEM1,SHH,SYVN1,UBA52,UBB,UBC,VCP
8963691	Phenylalanine and tyrosine metabolism	ASRGL1,FAH,GSTZ1,HGD,HPD,IL4I1,KYAT1,PAH,PCBD1,QDPR,TAT
5653890	Lactose synthesis	B4GALT1,LALBA,SLC2A1
450294	MAP kinase activation	ATF1,ATF2,BTRC,CHUK,CREB1,CUL1,DUSP3,DUSP4,DUSP6,DUSP7,ELK1,FBXW11,FOS,IKBKB,IKBKG,IRAK1,IRAK2,JUN,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAP2K7,MAP3K7,MAP3K8,MAPK1,MAPK10,MAPK11,MAPK14,MAPK3,MAPK7,MAPK8,MAPK9,MAPKAPK2,MAPKAPK3,MEF2A,MEF2C,NFKB1,NOD1,NOD2,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5D,RIPK2,RPS27A,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA5,SKP1,TAB1,TAB2,TAB3,TNIP2,TRAF6,UBA52,UBB,UBC,UBE2N,UBE2V1,VRK3
5654743	Signaling by FGFR4	BRAF,CBL,FGF1,FGF16,FGF17,FGF18,FGF19,FGF2,FGF20,FGF23,FGF4,FGF6,FGF8,FGF9,FGFR4,FRS2,FRS3,GAB1,GRB2,HRAS,KLB,KRAS,MAPK1,MAPK3,MKNK1,NRAS,PIK3CA,PIK3R1,PLCG1,PPP2CA,PPP2CB,PPP2R1A,PTPN11,RPS27A,SHC1,SOS1,SPRY2,SRC,UBA52,UBB,UBC
5654741	Signaling by FGFR3	BRAF,CBL,FGF1,FGF16,FGF17,FGF18,FGF2,FGF20,FGF23,FGF4,FGF5,FGF8,FGF9,FGFR3,FRS2,FRS3,GAB1,GALNT3,GRB2,HRAS,KRAS,MAPK1,MAPK3,MKNK1,NRAS,PIK3CA,PIK3R1,PLCG1,PPP2CA,PPP2CB,PPP2R1A,PTPN11,RPS27A,SHC1,SOS1,SPRY2,SRC,UBA52,UBB,UBC
2022377	Metabolism of Angiotensinogen to Angiotensins	ACE,ACE2,AGT,ANPEP,ATP6AP2,CES1,CMA1,CPA3,CPB1,CPB2,CTSD,CTSG,CTSZ,ENPEP,GZMH,MME,REN
2172127	DAP12 interactions	B2M,BTK,CD300E,CD300LB,CLEC5A,FYN,GRAP2,GRB2,HLA-B,HLA-C,HLA-E,HRAS,KIR2DS2,KIR2DS4,KIR2DS5,KIR3DS1,KLRC2,KLRD1,KLRK1,KRAS,LAT,LCK,LCP2,NCR2,NRAS,PIK3CA,PIK3CB,PIK3R1,PIK3R2,PLCG1,PLCG2,RAC1,SHC1,SIGLEC14,SIGLEC15,SIGLEC16,SIRPB1,SOS1,SYK,TREM1,TREM2,TYROBP,VAV2,VAV3
5661270	Formation of xylulose-5-phosphate	AKR1A1,CRYL1,DCXR,SORD,XYLB
983169	Class I MHC mediated antigen processing & presentation	8,ADRM1,ANAPC1,ANAPC10,ANAPC11,ANAPC13,ANAPC2,ANAPC4,ANAPC5,ANAPC7,AREL1,ARIH2,ASB1,ASB10,ASB11,ASB12,ASB13,ASB14,ASB15,ASB16,ASB17,ASB18,ASB2,ASB3,ASB4,ASB5,ASB6,ASB7,ASB8,ASB9,ATG14,ATG7,B2M,BECN1,BLMH,BTBD1,BTBD6,BTK,BTRC,CALR,CANX,CBLB,CBLL2,CCNF,CD14,CD207,CD36,CDC16,CDC20,CDC23,CDC26,CDC27,CDC34,CHUK,CTSL,CTSS,CTSV,CUL1,CUL2,CUL3,CUL5,CUL7,CYBA,CYBB,DET1,DTX3L,DZIP3,ELOB,ELOC,ERAP1,ERAP2,FBXL12,FBXL13,FBXL14,FBXL15,FBXL16,FBXL18,FBXL19,FBXL20,FBXL21P,FBXL22,FBXL3,FBXL4,FBXL5,FBXL7,FBXL8,FBXO10,FBXO11,FBXO15,FBXO17,FBXO2,FBXO21,FBXO22,FBXO27,FBXO30,FBXO31,FBXO32,FBXO4,FBXO40,FBXO41,FBXO44,FBXO6,FBXO7,FBXO9,FBXW10,FBXW11,FBXW12,FBXW2,FBXW4,FBXW5,FBXW7,FBXW8,FBXW9,FCGR1A,FCGR1BP,FGA,FGB,FGG,FZR1,GAN,GLMN,HACE1,HECTD1,HECTD2,HECTD3,HECW2,HERC1,HERC2,HERC3,HERC4,HERC5,HERC6,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,HLA-H,HMGB1,HSPA5,HUWE1,IKBKB,IKBKG,ITCH,ITGAV,ITGB5,KBTBD13,KBTBD6,KBTBD7,KBTBD8,KCTD6,KCTD7,KEAP1,KLHL11,KLHL13,KLHL2,KLHL20,KLHL21,KLHL22,KLHL25,KLHL3,KLHL41,KLHL42,KLHL5,KLHL9,LMO7,LNPEP,LNX1,LONRF1,LRR1,LRRC41,LRSAM1,LTN1,LY96,MEX3C,MGRN1,MIB2,MKRN1,MRC1,MRC2,MYD88,MYLIP,NCF1,NCF2,NCF4,NEDD4,NEDD4L,NPEPPS,PARK2,PDIA3,PIK3C3,PIK3R4,PJA1,PJA2,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,RBBP6,RBCK1,RBX1,RCHY1,RLIM,RNF111,RNF114,RNF115,RNF123,RNF126,RNF130,RNF138,RNF14,RNF144B,RNF182,RNF19A,RNF19B,RNF213,RNF217,RNF220,RNF25,RNF34,RNF4,RNF41,RNF6,RNF7,RPS27A,S100A1,S100A8,S100A9,SAR1B,SEC13,SEC22B,SEC23A,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SEC61A1,SEC61A2,SEC61B,SEC61G,SEM1,SH3RF1,SIAH1,SIAH2,SKP1,SKP2,SMURF1,SMURF2,SNAP23,SOCS1,SOCS3,SPSB1,SPSB2,SPSB4,STUB1,STX4,TAP1,TAP2,TAPBP,THOP1,TIRAP,TLR1,TLR2,TLR4,TLR6,TPP2,TRAF7,TRAIP,TRIM11,TRIM21,TRIM32,TRIM36,TRIM37,TRIM39,TRIM4,TRIM41,TRIM50,TRIM63,TRIM69,TRIM71,TRIM9,TRIP12,UBA1,UBA3,UBA5,UBA52,UBA6,UBA7,UBAC1,UBB,UBC,UBE2A,UBE2B,UBE2C,UBE2D1,UBE2D2,UBE2D3,UBE2D4,UBE2E1,UBE2E2,UBE2E3,UBE2F,UBE2G1,UBE2G2,UBE2H,UBE2J1,UBE2J2,UBE2K,UBE2L3,UBE2L6,UBE2M,UBE2N,UBE2O,UBE2Q1,UBE2Q2,UBE2R2,UBE2S,UBE2U,UBE2V1,UBE2V2,UBE2W,UBE2Z,UBE3A,UBE3B,UBE3C,UBE3D,UBE4A,UBOX5,UBR1,UBR2,UBR4,UFL1,UNKL,VAMP3,VAMP8,VHL,VPRBP,WSB1,WWP1,ZBTB16,ZNRF1,ZNRF2,mip,porB
418346	Platelet homeostasis	APOB,ATP2A1,ATP2A2,ATP2A3,ATP2B1,ATP2B2,ATP2B3,ATP2B4,CALM1,FGR,GNAS,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,GUCY1A2,GUCY1A3,GUCY1B2,GUCY1B3,IRAG1,ITPR1,ITPR2,ITPR3,KCNMA1,KCNMB1,KCNMB2,KCNMB3,KCNMB4,LRP8,MAPK14,NOS1,NOS2,NOS3,ORAI1,ORAI2,P2RX1,P2RX2,P2RX3,P2RX4,P2RX5,P2RX6,P2RX7,PAFAH2,PDE10A,PDE11A,PDE1A,PDE1B,PDE2A,PDE5A,PDE9A,PECAM1,PLA2G4A,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PRKG1,PRKG2,PTGIR,PTPN11,PTPN6,SLC8A1,SLC8A2,SLC8A3,SRI,STIM1,TRPC3,TRPC6,TRPC7
9031628	NGF-stimulated transcription	ARC,ASCL1,ATF1,ATF2,CDK5,CDK5R1,CDK5R2,CHD4,CREB1,DNM2,EGR1,EGR2,EGR3,EGR4,ELK1,EP300,FOS,FOSB,FOSL1,ID1,ID2,ID3,ID4,JUNB,JUND,LYL1,MEF2D,NAB1,NAB2,REST,RRAD,SGK1,SH3GL3,SRF,TCF12,TF,TPH1,TRIB1,VGF
5673001	RAF/MAP kinase cascade	ABHD17A,ABHD17B,ABHD17C,ACTN2,ADRM1,ANGPT1,APBB1IP,ARAF,AREG,ARL2,ARRB1,ARRB2,ARTN,BCL2L1,BRAF,BRAP,BTC,CALM1,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CNKSR1,CNKSR2,CSF2 gene,CSF2RA,CSF2RB,CSK,CUL3,DAB2IP,DLG1,DLG2,DLG3,DLG4,DUSP1,DUSP10,DUSP16,DUSP2,DUSP4,DUSP5,DUSP6,DUSP7,DUSP8,DUSP9,EGF,EGFR,EPGN,ERBB2,ERBB3,ERBB4,EREG,FGA,FGB,FGF1,FGF10,FGF16,FGF17,FGF18,FGF19,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR1,FGFR2,FGFR3,FGFR4,FGG,FLT3,FLT3LG,FN1,FNTA,FNTB,FRS2,FRS3,FYN,GDNF,GFRA1,GFRA2,GFRA3,GFRA4,GOLGA7,GRB2,GRIN1,GRIN2B,GRIN2D,HBEGF,HGF,HRAS,ICMT,IL17RD,IL2,IL2RA,IL2RB,IL2RG,IL3,IL3RA,IL5,IL5RA,IQGAP1,IRS1,IRS2,ITGA2B,ITGB3,JAK1,JAK2,JAK3,KBTBD7,KIT,KITLG,KL,KLB,KRAS,KSR1,KSR2,LAMTOR2,LAMTOR3,LAT,LRRC7,LYPLA1,MAP2K1,MAP2K2,MAP3K11,MAPK1,MAPK12,MAPK3,MARK3,MET,MRAS,NCAM1,NEFL,NF1,NRAS,NRG1,NRG2,NRG3,NRG4,NRTN,PAQR3,PDE6D,PDGFA,PDGFB,PDGFRA,PDGFRB,PEA15,PEBP1,PHB,PIK3CA,PIK3CB,PIK3R1,PIK3R2,PPP1CB,PPP1CC,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PPP5C,PRKCQ,PRKG2,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,PSPN,PTK2,PTPN3,PTPN7,PTPRA,RAF1,RALGDS,RANBP9,RAP1A,RAP1B,RAPGEF2,RASA1,RASA2,RASA3,RASA4,RASAL1,RASAL2,RASAL3,RASGEF1A,RASGRF1,RASGRF2,RASGRP1,RASGRP3,RASGRP4,RBX1,RCE1,RET,RGL1,RGL2,RGL3,RPS27A,SEM1,SHC1,SHC2,SHC3,SHOC2,SOS1,SPRED1,SPRED2,SPRED3,SPTA1,SPTAN1,SPTB,SPTBN1,SPTBN2,SPTBN4,SPTBN5,SRC,SYNGAP1,TEK,TGFA,TLN1,UBA52,UBB,UBC,USP17L2,VCL,VWF,WDR83,YWHAB,ZDHHC9
8876384	Listeria monocytogenes entry into host cells	CBL,CBLL1,CDH1,CTNNB1,CTNND1,EPS15,GRB2,HGS,MET,RPS27A,SH3GL1,SH3GL2,SH3GL3,SH3KBP1,SRC,STAM,STAM2,UBA52,UBB,UBC,inlA,inlB
1368108	BMAL1:CLOCK,NPAS2 activates circadian gene expression	ARNTL,ARNTL2,AVP,BHLHE40,BHLHE41,CARM1,CCRN4L,CHD9,CLOCK,CREBBP,DBP,F7,HELZ2,KLF15,MED1,NAMPT,NCOA1,NCOA2,NCOA6,NOCT,NPAS2,PPARA,RXRA,SERPINE1,SMARCD3,TBL1X,TBL1XR1,TGS1
1257604	PIP3 activates AKT signaling	ADRM1,AGO1,AGO2,AGO3,AGO4,AKT1,AKT1S1,AKT2,AKT3,AREG,ATF2,ATN1,BAD,BDNF,BMI1,BTC,CASP9,CBX2,CBX4,CBX6,CBX8,CD19,CD28,CD80,CD86,CDKN1A,CDKN1B,CHD3,CHD4,CHUK,CREB1,CSNK2A1,CSNK2A2,CSNK2B,EED,EGF,EGFR,EGR1,EPGN,ERBB2,ERBB3,ERBB4,EREG,ESR1,ESR2,EZH2,FGF1,FGF10,FGF16,FGF17,FGF18,FGF19,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR1,FGFR2,FGFR3,FGFR4,FLT3,FLT3LG,FOXO1,FOXO3,FOXO4,FOXO6,FRK,FRS2,FYN,GAB1,GAB2,GATAD2A,GATAD2B,GRB2,GSK3A,GSK3B,HBEGF,HDAC1,HDAC2,HDAC3,HDAC5,HDAC7,HGF,ICOS,IER3,IL1RAP,IL1RL1,IL33,INS,INSR,IRAK1,IRAK4,IRS1,IRS2,JUN,KDM1A,KIT,KITLG,KL,KLB,LAMTOR1,LAMTOR2,LAMTOR3,LAMTOR4,LAMTOR5,LCK,M,MAF1,MAPK1,MAPK3,MAPKAP1,MBD3,MDM2,MECOM,MET,MKRN1,MLST8,MOV10,MTA1,MTA2,MTA3,MTOR,MYD88,N,NEDD4,NR2E1,NR4A1,NRG1,NRG2,NRG3,NRG4,NTF3,NTF4,NTRK2,NTRK3,OTUD3,PDGFA,PDGFB,PDGFRA,PDGFRB,PDPK1,PHC1,PHC2,PHC3,PHLPP1,PHLPP2,PIK3AP1,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PIK3R6,PIP4K2A,PIP4K2B,PIP4K2C,PIP5K1A,PIP5K1B,PIP5K1C,PML,PPARG,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PREX2,PRR5,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,PTEN,PTPN11,RAC1,RAC2,RBBP4,RBBP7,RCOR1,REST,RHEB,RHOG,RICTOR,RING1,RNF146,RNF2,RPS27A,RPS6KB2,RPTOR,RRAGA,RRAGB,RRAGC,RRAGD,SALL4,SCMH1,SEM1,SGK1,SLC38A9,SNAI1,SNAI2,SRC,STRN,STUB1,SUZ12,TGFA,THEM4,TNKS,TNKS2,TNRC6A,TNRC6B,TNRC6C,TP53,TRAF6,TRAT1,TRIB3,TRIM27,TSC2,UBA52,UBB,UBC,USP13,USP7,VAV1,WWP2,XIAP
1433557	Signaling by SCF-KIT	CBL,CHEK1,CMA1,FER,FES,FYN,GAB2,GRAP,GRAP2,GRB10,GRB2,GRB7,HRAS,JAK2,KIT,KITLG,KRAS,LCK,LYN,MMP9,NRAS,PIK3CA,PIK3R1,PIK3R2,PIK3R3,PRKCA,PTPN11,PTPN6,PTPRU,RAC1,SH2B2,SH2B3,SOCS1,SOCS6,SOS1,SRC,STAT1,STAT3,STAT5A,STAT5B,TEC,VAV1,YES1
8964572	Lipid particle organization	CIDEA,CIDEC,FITM1,FITM2,HILPDA,HSD17B13
430116	GP1b-IX-V activation signalling	FLNA,GP1BA,GP1BB,GP5,GP9,PIK3R1,RAF1,SRC,VWF,YWHAZ
9634597	GPER1 signaling	ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,GNAI1,GNAI2,GNAI3,GNAS,GNAT3,GNAZ,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,GPER1,ITGA5,ITGB1,PRKACA,PRKACB,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,SHC1,SRC
9717189	Sensory perception of taste	CALHM1,CALHM3,GNAT3,GNB1,GNB3,GNG13,GRM1,GRM4,ITPR3,KCNJ2,OTOP1,PLCB2,SCN1B,SCN2A,SCN2B,SCN3A,SCN4B,SCN9A,SCNN1A,SCNN1B,SCNN1D,SCNN1G,TAS1R1,TAS1R2,TAS1R3,TAS2R1,TAS2R10,TAS2R13,TAS2R14,TAS2R16,TAS2R20,TAS2R3,TAS2R30,TAS2R31,TAS2R38,TAS2R39,TAS2R4,TAS2R40,TAS2R41,TAS2R43,TAS2R46,TAS2R5,TAS2R50,TAS2R7,TAS2R8,TRPM4,TRPM5
75105	Fatty acyl-CoA biosynthesis	ACACA,ACLY,ACSBG2,ACSF3,ACSL1,ACSL3,ACSL4,ACSL5,ACSL6,CBR4,ELOVL1,ELOVL2,ELOVL3,ELOVL4,ELOVL5,ELOVL6,ELOVL7,FASN,HACD1,HACD2,HACD3,HACD4,HBG1,HSD17B12,HSD17B3,HSD17B8,MORC2,OLAH,PPT1,PPT2,RPP14,SCD,SCD5,SLC27A2,SLC27A3,TECR,TECRL
392517	Rap1 signalling	PRKACA,PRKACB,PRKACG,PRKG1,RAF1,RAP1A,RAP1B,RAP1GAP,RAP1GAP2,RAPGEF3,RAPGEF4,RASGRP1,RASGRP2,SIPA1,YWHAB,YWHAZ
